Etiquetas de fila
"1;""Agua de jamaica"";""35.00"";""Agua de 355ml"";""1"";""2026-02-27 06:46:37"";""2026-02-27 07:54:06"""
"1;""Bebidas"";""2026-02-27 06:46:37"";""2026-02-27 06:46:37"""
"12;""Refresco"";""22.00"";""Refresco de lata 355ml"";""1"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"13;""Licuado de Fresa"";""35.00"";""Licuado natural con leche"";""1"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"14;""Flan Napolitano"";""40.00"";""Flan casero tradicional"";""2"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"15;""Gelatina"";""20.00"";""Gelatina de sabores variados"";""2"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"16;""Pastel de Chocolate"";""45.00"";""Rebanada individual"";""2"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"17;""Milanesa de Pollo"";""85.00"";""Incluye arroz y ensalada"";""3"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"18;""Carne Asada"";""95.00"";""Acompañada de frijoles y tortillas"";""3"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"19;""Enchiladas Verdes"";""80.00"";""Rellenas de pollo con crema"";""3"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"2;""Postres"";""2026-02-27 06:46:37"";""2026-02-27 06:46:37"""
"20;""Nachos"";""55.00"";""Totopos con queso y jalapeño"";""4"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"21;""Quesadillas"";""50.00"";""Orden de 3 quesadillas"";""4"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"22;""Guacamole"";""60.00"";""Aguacate preparado con totopos"";""4"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"23;""Sopa de Fideos"";""45.00"";""Sopa tradicional casera"";""5"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"24;""Caldo de Pollo"";""70.00"";""Con verduras y arroz"";""5"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"25;""Sopa Azteca"";""65.00"";""Con tortilla frita y queso"";""5"";""2026-02-27 01:53:01"";""2026-02-27 01:53:01"""
"3;""Platillos Fuertes"";""2026-02-27 06:46:37"";""2026-02-27 06:46:37"""
"4;""Entradas"";""2026-02-27 06:46:37"";""2026-02-27 06:46:37"""
"5;""Sopas"";""2026-02-27 06:46:37"";""2026-02-27 06:46:37"""
"id;""nombre_categoria"";""created_at"";""updated_at"""
Total general
